a	ওগ্গো
a little	এক্কানা গরি
a lot	বউত
a lot of	বউত
abandon	ছাড়ি দন
abandoned	পরি তাহন
abide	মানি চলন
ability	সক্ষমতা
able	সক্ষম
about	সম্পর্কে
above	উরে
abroad	বিদেশ
absence	অনুপস্থিতি
absent	নো আয়ি
absolutely	নিশ্চিতভাবে
absorb	চুষি লন
abstract	অবাস্তব
absurd	যুক্তি নাই
abundance	বউত
abundant	বউদ
abuse	হারাফভাবে ইউজ গরন
accent	অ্যাক্সেন্ট
accept	গ্রহণ গরা
access	অনুমতি দিলাম
accident	এক্সিডেন
accommodation	থাহার জায়গা
accomplish	ঠিকগরি গরন
accomplished	শেষ গরে ফেলন
according	এইল্ল্যে
account	একাউন্ট
accuracy	একুরেট
accurate	একদম বরাবর
accused	অভিযুক্ত
ache	ব্যাথা বেদনা
achieve	অর্জন
achievement	অর্জন
acknowledge	স্বীকৃতি
acquaintance	জানাশোনা
acquire	দখল
acquired	অর্জন হইজ্জে
acquisition	লইলন
across	মাঝদি
act	আইন
action	হাম হরজ
active	ছালু
activities	কার্যক্রম
activity	হাজকর্ম
actor	অভিনেতা
actual	আসল
actually	আচা হতা অইলজি
acute	খুব বেশি
adapt	মানাই লন
add	যোগ গরি দ
addicted	নেশাটি
addition	যোগ
additional	বউদ বেশি
address	ঠিহানা
adequate	ফয্যাপ্ত
adjacent	লাগাইন্যা
adjective	বিশেষণ
adjust	এডজাস্ট
admire	প্রশংসা গরন
admit	স্বীকার গরা
adopt	লওন
adorable	আদইয্যা
advance	আগে
advanced	আগাম
advantage	সুবিধে
adventure	এডভেঞ্চার
adverb	বিশেষণ
advertisement	এডভেটাইজ
advertising	বিজ্ঞাপন দেওন
advice	উপদেশ
advise	পরামর্শ
advocate	ব্যরিস্টার
aesthetic	সুন্দর
affair	বিষয়গান
affect	ক্ষতি
affect	ফ্রভাব ফেলন
affection	টান
afford	চেষ্টা
afford	হেডাম
affordable	অস্তা
afraid	ডরন
after	পরে
afternoon	বিয়েল বেলা
afterwards	পরে
again	আবারো
against	বিরুদ্ধে
age	বয়স
agency	এজেন্সি
agent	এজেন্ট
aggressive	আক্রমনাত্মক
agile	চঞ্চল
ago	আগে
agree	রাজি
agreement	চুক্তি
agriculture	কৃষি হাজ
ahead	আগোদি
aid	সাইয্যো
aim	লক্ষ্য
air	বাতাস
airport	বিমান বন্দর
aisle	আইল
alarm	এলার্ম
alcohol	মদ
alert	সতর্ক
alive	জ্যাঁতা
all	বিয়াগ
all	বেগগুন
all right	ঠিক আছে
all the best	শুভ কামনা
allow	অনুমতি
allowed	মানি লই লন
almost	প্রায়
alone	একা
along	ফুঁয়ারে
already	ইতোমধ্যে
Alright	বিয়াগ ঠিক
also	এরজে
alternative	বিকল্প
although	যদিও
always	সবসময়
am	অইলাম
amazing	চমৎকার
ambiguous	অনিশ্চিত
ambition	বড় কিছু গরনের আশা
ambitious	বড় কিছু গরিত ছায়
amend	ঠিকগরি লন
amid	মধ্যে
among	মধ্যে
among us	আঁরার ভিতরে
amount	পরিমান
amount	পরিমাণ
amusing	মজালার
