a little	azçıq
a lot	çoq
a lot of	çoq
abandon	taşlap ketmek
abandoned	taşlanılğan
abide	riayet etmek
ability	qabiliyet
able	çaresi olğan
about	aqqında
above	töpesinde
abroad	çetelde
absence	yoqluq
absent	yoq olğan
absolutely	tamamınen
absorb	emmek
abstract	mücerret
absurd	absurd
abundance	bol-bereket
abundant	bol
abuse	suistimal
accent	aytılış
accept	mümkün saymaq
access	irişim
accident	qaza
accommodation	yerleşüv
accomplish	becermek
accomplished	bitirilgen
according	köre
account	esap
accuracy	doğrulıq
accurate	nizamlı
accused	qabaatlanğan
ache	acı
achieve	irişmek
achievement	irişüv
acknowledge	minnetdar olmaq
acquaintance	tanışuv
acquire	saip olmaq
acquired	alınğan
acquisition	aluv
across	arasından
act	davranmaq
action	areket
active	faal
activities	faaliyet
activity	faaliyet
actor	aktör
actual	kerçek
actually	aslında
acute	şiddetli
adapt	alışmaq
add	qoşmaq
addicted	tabi olğan
addition	qoşma
additional	qoşma
address	adres
address	muracaat etmek
adequate	aqlı-fikri yerinde
adjacent	qoşulğan
adjective	sıfat
adjust	ayarlamaq
admire	ayran qalmaq
admit	itiraf etmek
adopt	evlâtlıqqa almaq
adorable	ayranlıq doğurğan
advance	ilerletmek
advanced	ileri
advantage	meziyet
adventure	macera
adverb	zarf
advertisement	reklama
advertising	reklama
advice	tevsiye
advise	ögüt
advocate	abulqat
aesthetic	estetik
affair	alâqa
affect	tesir etmek
affection	bağlılıq
afford	yapıp olmaq
affordable	uyğun fiyatlı
afraid	qorqa
after	soñ
afternoon	kündüz
afterwards	soñunda
again	bir kere daa
against	qarşı
age	asır
age	yaş
agency	agentlik
agent	agent
aggressive	basqıncı
agile	atik
ago	evelsi
agree	razı olmaq
agreement	muqavele
agriculture	köy hocalığı
ahead	ileride
aid	imdat
aim	niyet
air	ava
airport	ava limanı
aisle	ayat
alarm	telâş
alcohol	içki
alert	telüke işareti
alive	canlı
all	episi
all right	er şey yahşı
all the best	oğurlar olsun
allow	yol bermek
allowed	ruhset etilgen
almost	deyerlik
alone	yañğız
along	boyu
already	endi
Alright	Aydı
also	em de
alternative	başqa çare
although	buña baqmadan
always	er vaqıt
