ida	a
uitoan	a little
barak	a lot
barak husi	a lot of
husik hela	abandon
husik hela	abandoned
hela	abide
abilidade	ability
bele	able
kona-ba	about
iha leten	above
rai liur	abroad
auzensia	absence
absénsia	absent
absolutamente	absolutely
supa	absorb
abstratu	abstract
absurdu	absurd
abundansia	abundance
abundante	abundant
abuzu	abuse
viola	abuse
sotake	accent
aseita	accept
asesu	access
asidenti	accident
akomodasaun	accommodation
kompleta	accomplish
realizada	accomplished
akordu	according
konta	account
akuradu	accuracy
akuradu	accurate
akuzadu	accused
moras	ache
alkanse	achieve
konkista	achievement
rekoñese	acknowledge
koñesidu	acquaintance
obten	acquire
hetan	acquired
sosa	acquisition
liuhosi	across
kruza	across
asaun	act
asaun	action
ativu	active
atividade	activities
atividade	activity
Ator	actor
atual	actual
loloos ne'e	actually
agudu	acute
adapta	adapt
aumenta	add
Vísiu	addicted
adisionál	addition
adisionál	additional
enderessu	address
hato'o	address
adekuadu	adequate
besik-malu	adjacent
adjetivu	adjective
ajusta	adjust
orgullu	admire
konfesa	admit
adota	adopt
adorável	adorable
avansu	advance
promove	advance
avansadu	advanced
advantajen	advantage
aventura	adventure
advérbiu	adverb
anúnsiu	advertisement
publisidade	advertising
lia-menon	advice
sujestaun	advice
konsola	advise
advokasia	advocate
estétika	aesthetic
asuntu	affair
lia	affair
afeita	affect
efeksaun	affection
fó	afford
bele hola	affordable
ta'uk	afraid
depoisde	after
lokraik	afternoon
depois	afterwards
fali	again
kontra	against
idade	age
Ajensia	agency
ajente	agent
agresivu	aggressive
ájil	agile
liu bá	ago
akordu	agree
akordu	agreement
agrikultura	agriculture
iha oin	ahead
ajuda	aid
alvu	aim
anin	air
aeroportu	airport
korredór	aisle
alarma	alarm
alku	alcohol
alerta	alert
moris	alive
hotu-hotu	all
Diak	all right
buat hotu di'ak	all the best
permite	allow
permite ona	allowed
kuaze	almost
mesak	alone
hamutuk	along
tia ona	already
di'ak	Alright
mós	also
alternativu	alternative
maski	although
sempre	always
hela de'it	always
ha'u mak	am
inkrível	amazing
ambigu	ambiguous
ambisaun	ambition
ambisaun	ambitious
altera	amend
entre	amid
entre	among
entre ita	among us
montante	amount
totál	amount
halo kontente	amusing
ida	an
analiza	analysis
ensestrál	ancestors
ankor	anchor
antigu	ancient
no	and
no ita-boot	and you
anju	angel
hirus	anger
angulu	angle
hirus	angry
animál	animal
ain sikun	ankle
halo tinan	anniversary
avizu	announcement
sateia	annoy
sateia	annoyed
iritante	annoying
anuál	annual
anónimu	anonymous
seluk fali	another
responde	answer
resposta	answer
antisipa	anticipate
tuur la hakmatek	anxiety
ansiedade	anxiety
tuur la hakmatek	anxious
ansiedade	anxious
kualkér	any
saida de'it	any
tan	anymore
se deit	anyone
kualkér	anything
enfín	anyway
maski nune'e	anyways
aparte	apart
apartamentu	apartment
deskulpa	apologize
aparenta	apparent
aparantemente	apparently
apela	appeal
mosu	appear
aparese	appearance
mosu	appeared
haree hanesan	appeared
vontade	appetite
apetite	appetite
masa	apple
aplikasaun	application
aplika	apply
konsulta	appointment
apresia	appreciate
apresiasaun	appreciation
hakbesik	approach
aproximasaun	approach
apropriadu	appropriate
loloos	appropriate
Aprovasaun	approval
aprovadu	approve
aprovadu	approved
aproximadamente	approximately
abril	april
arbitraria	arbitrary
arkitetu	architect
arkitektura	architecture
arkivu	archive
sira mak	are
o ka	are you
ita-boot okupadu	are you busy
o kaben ona ka seidauk	are you married
ita-boot kaben nain ka solteiru	are you married or single
ita-boot sei iha ne'ebá?	Are you still there?
o iha ne'ebá ka	are you there
área	area
deskute	argue
argumentu	argument
Mosu	arise
liman	arm
ezersitu	army
haleu	around
aranja	arrange
arranju	arrangement
to'o-mai	arrival
to'o	arrive
to'o ona	arrived
halo an	arrogant
rama-oan	arrow
arte	art
artigu	article
artifisial	artificial
artista	artist
nu'udar	as
karin nune'e nafatin	as long as
no mos	as well
no mos	as well as
ahu kdesan	ash
moe	ashamed
husu	ask
husu	asked
dukur	asleep
aspeitu	aspect
Assamese	Assamese
asaltu	assault
tutan	assembly
asertivu	assertive
avaliasaun	assess
avaliasaun	assessment
aset	asset
riku-soin	assets
koloka	assign
atribuisaun	assignment
ajuda	assist
tulun	assist
asistente	assistant
asosiadu	associate
asosiadu	associated
asosiasaun	association
prezume	assume
ipóteze	assumption
iha	at
pelumenus	at least
han ona	ate
atleta	athlete
aneksa	attach
aneksu	attached
aneksu	attachment
Atake	attack
tenta	attempt
partisipa	attend
prezensa	attendance
atensaun	attention
hahalok	attitude
atrai	attract
atrasaun	attraction
atrativu	attractive
atributu	attribute
audiénsia	audience
agostu	august
tia	aunt
tia	aunty
auténtiku	authentic
na'in	author
autoridade	authority
autonu	autumn
disponivel	available
média	average
evita	avoid
hader	awake
premiu	award
siente	aware
konsiente	awareness
dook	away
di'ak los	awesome
aat los	awful
lajeitu	awkward
Aymara	Aymara
bebe	baby
klosan	bachelor
lisensiadu	bachelor
kotuk	back
fundu	background
aat	bad
pasta	bag
iska	bait
tunu	bake
padaria	bakery
bakin soda	baking soda
ekuilíbriu	balance
balansu	balance
bola	ball
Bambara	Bambara
hudi	banana
banda	band
tarutu	bang
banku	bank
barra	bar
oituan deit	barely
negosia	bargain
ai-kulit	bark
trigu	barley
Bareira	barrier
baze	base
bazeada	based
baze	basement
poraun	basement
báziku	basic
bazikamente	basically
ikan saboko	basil
desgrasadu	bastard
lote	batch
hariis	bath
hariis fatin	bathroom
bateria	battery
luta	battle
be lihun	bay
sai	be
kuidadu	be careful
tasi-ibun	beach
nabilan	beam
fore	beans
ursu	bear
aguenta	bear
hasan-rahun	beard
konsekuensia	bearing
balada	beast
baku	beat
ritmu	beat
Furak	beautiful
bonita	beauty
sai	became
tanba	because
sai	become
kama	bed
kuartu	bedroom
bani	bee
na'an karau	beef
Ba ona	been
serveja	beer
molok	before
komesa	began
komesa	begin
inísiu	beginning
reprezenta	behalf
hahalok	behave
hahalok	behavior
