a	یک
a little	کمی
a lot	زیاد
a lot of	بسیاری از
abandon	رها کردن
abandoned	رها شده است
abide	پایبند بودن
ability	توانایی
able	توانا
about	درباره
above	س
abroad	بیرون
absence	غیبت
absent	غایب
absolutely	دقیقا
absorb	جذب
abstract	خلاصه
absurd	چرند
abundance	فراوانی
abundant	فراوان
abuse	توهین
abuse	توهین کردن
accent	لهجه
accept	لهجه
access	دسترسی
access	دسترسی داشتن
accident	حادثه
accommodation	بودوباش
accomplish	انجام دهد
accomplished	انجام شد
according	مطابق
account	حساب
accuracy	دقت
accurate	درست
accused	متهم
ache	درد کردن
ache	درد
achieve	بدست آوردن
achievement	دستاورد
acknowledge	تصدیق
acquaintance	آشنایی
acquire	دریافت
acquired	به دست آورد
acquisition	تحصیل
across	از وسط
act	عمل کنید
action	عمل
active	فعال
activities	فعالیت ها
activity	فعالیت
actor	بازیگر
actual	واقعی
actually	در حقیقت
acute	حاد
adapt	سازگار شدن
add	اضافه کردن
addicted	معتاد
addition	علاوه بر این
additional	اضافی
address	آدرس
address	خطاب
adequate	کافی
adjacent	مجاور
adjective	صفت
adjust	تطبیق
admire	تمجید
admit	اعتراف
adopt	اتخاذ کردن
adorable	قابل ستایش
advance	پیش پرداخت
advance	پیش رفت
advanced	پیشرفته
advantage	مزیت
adventure	ماجرا
adverb	قید
advertisement	تبلیغات
advertising	تبلیغات
advice	مشوره
advise	توصیه
advocate	دادخواهی
advocate	مدافع
aesthetic	زیبایی شناختی
affair	امر
affect	اثرانداز شدن
affection	محبت
afford	توانستن
affordable	مقرون به صرفه
afraid	ترسیده
after	بعد از
afternoon	بعد از چاشت
afterwards	پس از آن
again	بار دیگر
against	بر خلاف
age	سن
agency	آژانس
agent	عامل
aggressive	خشونت آمیز
agile	چابک
ago	پیش
agree	همفکر بودن
agreement	توافق
agriculture	کشاورزی
ahead	پیش رو
aid	کمک
aim	هدف
air	هوا
airport	فرودگاه
aisle	راهرو
alarm	زنگ خطر. هشدار
alcohol	الکل
alert	هشدار
alive	زنده
all	همه
all right	خیلی خوب
all the best	بهترین ها
allow	اجازه دادن
allowed	اجازه داده شد
almost	تقریبا
alone	تنها
along	همراه
already	بالفعل
Alright	بسیار خوب
also	همچنان
alternative	بدیل
although	هرچند
always	همیشه
am	هستم
amazing	تعجب آور
ambiguous	مبهم
ambition	هدف
ambitious	پرتلاش
amend	اصلاح
amid	در میان
among	در میانی
among us	در بین ما
amount	مقدار
amusing	سرگرم کننده
an	یک
analysis	تحلیل و بررسی
ancestors	اجداد
anchor	لنگر
ancient	بسیار قدیم
and	و
and you	و شما
angel	فرشته
anger	عصبانیت
angle	زاویه
angry	خشمگین
animal	حیوان
ankle	مچ پا
anniversary	سالگرد
announcement	اعلامیه
annoy	آزار دادن
annoyed	اذیت شده
annoying	مزاحم
annual	سالانه
anonymous	ناشناس
another	دیگر
answer	جواب دادن
answer	جواب
anticipate	پیش بینی کنید
anxiety	اضطراب
anxious	مضطرب
any	کدام یک
anymore	دیگر
anyone	هر کسی
anything	یگان چیز
anyway	بهرحال
anyways	به هر حال
apart	جدا از هم
apartment	اپارتمان
apologize	معذرتخواهی
apparent	آشکار
apparently	ظاهرا
appeal	درخواست
appear	ظاهر شدن
appearance	ظاهر
appeared	ظاهر شد
appetite	میل
appetite	اشتها
apple	سیب
application	درخواست
apply	تطبیق
appointment	قرار ملاقات
appreciate	تشویق
appreciation	قدردانی
approach	اقدام
approach	رویکرد
appropriate	مناسب
approval	تصویب
approve	تایید
approved	تایید شده
approximately	تقریبا
april	آوریل
arbitrary	دلخواه
architect	معمار
architecture	معماری
archive	بایگانی
are	هستند
are you	آیا شما
are you busy	آیا شما مشغول هستید
are you married	آیا شما متاهل هستید
are you married or single	متاهلی یا مجرد
Are you still there?	هنوز آنجا هستی؟
are you there	آیا شما آنجا هستید
area	منطقه
argue	بحث
argument	بحث و جدل
arise	بوجود امدن
arm	بازو
army	ارتش
around	در اطراف
arrange	ترتیب
arrangement	ترتیب
arrival	ورود
arrive	رسیدن
arrived	رسید
arrogant	متکبر
arrow	فلش
art	هنر
article	مقاله
artificial	ساختگی
artist	هنرمند
as	مانند
as long as	تا زمانیکه
as well	همچنین
as well as	همچنین
ash	خاکستر
ashamed	شرمنده
ask	پرسیدن
asked	پرسید
asleep	خواب
aspect	جنبه
Assamese	آسامی
assault	حمله
assembly	مونتاژ
assertive	اظهار کننده
assess	ارزیابی کنید
assessment	ارزیابی
asset	دارایی
assets	دارایی های
assign	اختصاص دهد
assignment	وظیفه
assist	کمک کند
assistant	دستیار
associate	وابسته
associated	مرتبط است
association	اتحادیه
assume	قرار گرفتن
assumption	فرض
at	در
at least	حداقل
ate	خورد
athlete	ورزشکار
attach	ضمیمه کردن
attached	پیوست شده است
attachment	پیوست
attack	حمله کنند
attempt	تلاش
attempt	تلاش کردن
attend	شمولیت
attendance	حضور
attention	توجه
attitude	ذهنیت
attract	جذب کنند
attraction	جاذبه
attractive	جذاب
attribute	صفت
audience	حضار
august	اوت
aunt	عمه
aunt	خاله
aunty	عمه
authentic	معتبر
author	نویسنده
authority	قدرت
autumn	فصل خزان
available	قابل دسترس
average	اوسط
avoid	اجتناب کردن
awake	بیدار
award	جایزه
aware	آگاه
awareness	آگاهی
away	دور
awesome	عالی
awful	بد
awkward	خام
Aymara	آیمارا
baby	طفل
bachelor	عزب
back	پشت
background	زمینه
bad	بد
bag	بیک
bait	طعمه
bake	پختن
bakery	نانوایی
baking soda	جوش شیرین
balance	توازن برقرار کردن
balance	ترازو
ball	توپ
Bambara	بامبارا
banana	موز
band	باند
bang	انفجار
bank	بانک
bar	بار
barely	به مشکل
bargain	معامله
bark	پارس سگ
bark	پارس زدن
barley	جو
barrier	مانع
base	پایه
based	مستقر
basement	زیر زمین
basic	پایه ای
basically	اساسا
basil	ریحان
bastard	حرامزاده
batch	دسته ای
bath	حمام
bathroom	حمام
battery	باتری
battle	نبرد
bay	خلیج
be	بودن
be careful	مراقب باش
beach	ساحل بحر
beam	پرتو
beans	لوبیا
bear	خرس
bear	تحمل
beard	نان
bearing	یاتاقان
beast	جانور
beat	ضرب
beat	شکست دادن
beautiful	زیبا
beauty	زیبایی
became	تبدیل شد
because	بدلیل اینکه
become	شدن
bed	تختخواب
bedroom	اتاق خواب
bee	زنبور عسل
beef	جنگ
beef	گوشت گاو
been	بوده است
beer	آبجو
before	قبل از
began	آغاز شد
begin	آغاز
beginning	شروع
behalf	از طرف
behave	رفتار كردن
behavior	رفتار
behaviour	اخلاق
behind	پشت
being	بودن
belief	باور
believe	باور داشتن
belly	شکم
belong	ربط
beloved	محبوب
below	پائین
belt	کمربند
bench	نیمکت
bend	خم شدن
beneath	در زیر
benefit	مزیت
benefit	استفاده بردن
benefits	فواید
beside	در كنار
besides	در کناری
best	بهترین
best of luck	بهترین شانس
best regards	با احترام
better	بهتر
between	در بین
beverage	نوشیدنی
beyond	فراتر
Bhojpuri	بوجپوری
bias	تعصب
biased	جانبدارانه
bicycle	دوچرخه
bid	پیشنهاد
big	بزرگ
bike	دوچرخه
bill	صورت حساب
bind	بستن
bird	پرنده
birthday	روز تولد
bit	ضربه
bite	دندان گرفتن
bitter	تلخ
black	سیاه
blade	تیغه
blame	متهم کردن
blame	اتهام
blank	جای خالی
blanket	کمپل
blast	انفجار
bleach	سفید کننده
blend	مخلوط کردن
bless	برکت دادن
blessed	مبارک
blind	کور
bliss	سعادت
block	مسدود کردن
blood	خون
bloom	شکوفه
blow	ضربت
blue	آبی
blunt	صریح
board	تخته
boat	قایق
body	جسم
boil	جوشیدن
bold	با جرات
bond	رشته
bond	رابطه
bone	استخوان
book	کتاب
book	ثبت
boost	تقویه کردن
boost	تقویه
booster	تقویت کننده
boot	چکمه
boots	چکمه
border	مرز
bore	منفذ
bored	خسته
boring	خسته کن
born	بدنیا آمدن
borrow	قرض گرفتن
boss	رئیس
both	هردو
bother	مزاحمت
bottle	بطری
bottom	زیر
bought	خرید
bounce	جهش
bound	مقید شده است
boundaries	مرزها
bow	سرخم کردن
bowl	کاسه
box	جعبه
boy	پسر
boyfriend	دوست پسر
bracelet	دستبند
brain	مغز
branch	شاخه
brand	نام تجاری
brave	جراتمند
breach	رخنه
bread	نان
break	وقفه
break	شکستن
breakfast	ناشتا
breast	پستان
breath	نفس
breathe	نفس کشیدن
breed	نژاد
brick	آجر
bride	عروس
bridge	پل
brief	مختصر
bright	روشن
brilliant	درخشان
bring	آوردن
bro	برادر
broad	گسترده
broadcast	پخش
broke	شکست
broken	شکسته
broom	جارو
brother	برادر
brother in law	برادر شوهر
brought	آورده شد
brown	خاکستری
brush	قلم مو
bucket	سطل
buddy	رفیق
budget	بودیجه
bug	حشره
build	تعمیر
building	تعمیر
built	ساخته شده
bulk	فله
bull	گاو نر
bully	گردن کلفت
bump	دست انداز
bunch	دسته
bundle	دسته
burden	بار دوش
burden	بار دوش قرار گرفتن
buried	دفن شد
burn	سوختن
burst	ترکیدن
bury	دفن کردن
bus	اتوبوس
bush	بوته
business	تجارت
bust	شکستن
busy	مصروف
but	اما
butter	مسکه
butterfly	پروانه
button	دکمه
buy	خریدن
by	از
by the way	بهرحال
bye	خدا حافظ
cabbage	کلم
cabinet	کابینه
cage	قفس
cake	کیک
calf	گوساله
call	زنگ
call	صدا کردن
call me	به من زنگ بزن
