a	en
a little	en pti gin
a lot	en ta
a lot of	en ta
abandon	abandonn
abandoned	abandonnen
abide	obeir
ability	abilite
able	kapab
about	lo
above	par lao
abroad	deor
absence	labsans
absent	absan
absolutely	absoliman
absorb	abzorb(e)
abstract	abstre
absurd	absird
abundance	labondans
abundant	abondan
abuse	abize
accent	aksan
accept	aksepte
access	akse
accident	aksidan
accommodation	akomodasyon
accomplish	akonpli
accomplished	akonpli
according	dapre
account	kont
accuracy	presizyon
accurate	presi
accused	akize
ache	douler
achieve	akonpli
achievement	lakonplisman
acknowledge	Rekonnet
acquaintance	konesans
acquire	akerir
acquired	akerir
acquisition	lakizisyon
across	atraver
act	akt
action	aksyon
active	aktiv
activities	aktivite
activity	aktivite
actor	akter
actual	aktyel
actually	aktyelman
acute	egi
adapt	adapte
add	azoute
addicted	adikte
addition	adisyon
additional	adisyonnel
address	ladres
address	adrese (verb)
adequate	adekwat
adjacent	a kote
adjective	Azektif
adjust	aziste
admire	admire
admit	admit
adopt	adopte
adorable	adorab
advance	avanse
advanced	avanse
advantage	lavantaz
adventure	lavantir
adverb	adverb
advertisement	advertisman
advertising	fer piblisite
advice	Konsey
advise	Konseye
advocate	defann (verb)
advocate	defanser (noun)
aesthetic	Estetik
affair	konmeraz
affect	afekte
affection	lafeksyon
afford	aford
affordable	abordab
afraid	per
after	apre
afternoon	apremidi
afterwards	apre
again	ankor
against	kont
age	laz
agency	lazans
agent	azan
aggressive	agresiv
agile	Vit
ago	pase
agree	agree
agreement	lagreman
agriculture	lagrikiltir
ahead	par devan
aid	ede
aim	bi
air	ler
airport	erport
aisle	koulwar
alarm	alarm
alcohol	lalkol
alert	alert
alive	vivan
all	tou
all right	ok
all the best	tou de bon
allow	les
allowed	lese
allowed	permet
almost	pres
alone	tousel
along	ansanm
already	deza
Alright	ok
also	osi
alternative	alternatif
although	kantmenm
always	touzour
always	toultan
amazing	Enkwayab
ambiguous	anbigi
ambition	lanbisyon
ambitious	anbisye
amend	amande
amid	parmi
amid	ant
among	parmi
among us	parmi nou
amount	kantite
amusing	anmizan
an	en
analysis	Analiz
ancestors	zanset
anchor	lank
ancient	ansyen
and	e
and you	be ou
angel	lanz
anger	lakoler
angle	lang
angry	ankoler
animal	zannimo
ankle	sevir
anniversary	laniverser
announcement	lanons
annoy	annwiy
annoyed	annwiye
annoying	Agasan
annual	anyel
anonymous	Anomim
