abandoned	आबुध्त
abandon	स्थगन
abide	आबद्ध
ability	क्षमता
able	सक्षमः
about	विषये
above	उपरि
abroad	देशान्तरम्
absence	उनुपास्थिति
absent	अनुपस्थित
absolutely	अत्यन्तम्‌
absorb	अवशोस्
abstract	मूर्त
absurd	विसङ्गत
abundance	विपुलता
abundant	बहुल
abuse	निकृति
accent	उच्चारण
accept	स्वीकरोतु
access	अभिगमः
accident	दुर्घटना
accommodation	व्यवस्थापन
accomplished	पूर्ण
accomplish	पूरयतु
according	अनुसारे
account	वृतांत्तः
accuracy	विशुद्धता
accurate	परिशुद्धः
accused	आरोपित
ache	पीडा
achievement	उपलब्धि
achieve	प्राप्नोतु
acknowledge	सञ्जानीते
acquaintance	निकटवर्ती
acquired	प्राप्त
acquire	अर्जन
acquisition	अधिग्रहणं
across	तिरश्चीनम्‌
action	नामपत्र
active	सक्रियं
activities	गतिविधयः
activity	गतिविधि
actor	नायक
actually	यथार्थतः
actual	वास्तविक
act	विधि
acute	न्यून
adapt	अनुकूलयेत्
addicted	प्रसक्त
additional	अतिरिक्त रूपेन
addition	योजन
address	पत्रसङ्केतः
add	संयोजयति
adequate	पर्याप्तं
adjacent	पार्श्वस्थ
adjective	विशेषणं
adjust	समीकरोतु
admire	श्लाघाते
admit	प्रपद्यते
adopt	स्वीकार
adorable	पूजनीयं
advanced	उन्नतं
advance	अग्रिमधन
advantage	लाभ
adventure	साहस
adverb	क्रियाविशेषण
advertisement	विज्ञापनं
advertising	प्ररोचन
advice	उपदेशः
advise	परामर्श
advocate	अधिवक्ता
aesthetic	सज्जनीयं
affair	व्यवहार
affection	भावना
affect	लिंपन्ति
affordable	प्रमाप्य
afford	वितरतु
afraid	भीतः
afternoon	अपराह्नः
afterwards	तदनन्तरम्
after	अनन्तरम्‌
against	विरुद्धम्‌
again	पुनः
agency	कर्तृकत्व
agent	दूत:
age	वयः
aggressive	विगृह्य
agile	विखेद
ago	पूर्व
agreement	सहमति
agree	अङ्गीकरोतु
agriculture	कृषि
ahead	अग्रे
aid	सहायता
aim	लक्ष्य
airport	वायुपत्तनं
air	वायु
aisle	एषा
alarm	आपत्सङ्केत
alcohol	मद्यसार
alert	सचेत
a little	तनिक
alive	जीवित
allowed	अनुमत
allow	अनुमन्यताम्‌
all right	सर्वोचित
all the best	सर्वकुशलं
all	सर्वे
almost	प्रायशः
alone	एकाकी
along	सह
a lot of	विपुलं
a lot	विपुल
already	पूर्वमेव
Alright	सम्यक्‌
also	अपि
alternative	वैकल्पिक
although	यद्यपि
always	सर्वदा
amazing	अत्युत्तमम्‌
ambiguous	अस्पष्ट
ambition	महत्त्वाकाङ्क्षा
ambitious	यशस्काम
amend	मार्जन
amid	परिषद
among us	अस्मासु
among	मध्ये
amount	राशिः
amusing	विनोदवत्
am	अस्मि
analysis	आँकलन
ancestors	पूर्वज
anchor	लाङ्गल
ancient	पुरातनः
and you	त्वं अपि
and	तथा
angel	दूत
anger	क्रोध
angle	कोण:
angry	क्रुद्धः
animal	पशु
ankle	गुल्फ
anniversary	वार्षिकी
announcement	घोषणा
annoyed	अप्रसन्न
annoying	क्लेशकः
annoy	क्लिश्
annual	वार्षिक
anonymous	अनामक
another	अन्यत्‌
answer	उत्तरम्‌
anticipate	आयासं
anxiety	उद्वेगः
anxious	भयान्वितः
anymore	अथो
anyone	किमपि
anything	किमपि
anyways	पञ्चदश
anyway	कथञ्चिद्‌
any	कश्चित्‌
an	एकम्‌
apartment	प्रकोष्ठ
apart	भिन्नं
apologize	क्षमा-याचना
apparently	प्रादुस्
apparent	व्यक्त
appeal	पुनरावेदनं
appearance	स्वरूपम्‌
appeared	निर्गत
appear	उत्प्लवते
appetite	बुभुक्षा
apple	सेवफल
application	अनुप्रयोगः
apply	आचरतु
appointment	नियुक्तिः
appreciate	श्लाघयतु
appreciation	प्रशंसा
approach	समीपगमनम्‌
appropriate	समीचीनः
approval	अनुमत्त
approved	अनुमत
approve	जानाति
approximately	आसन्न
april	अप्रैल-माह
arbitrary	कचु
architecture	संरचना
architect	वास्तुकार
archive	लेखागार
area	क्षेत्र
are you busy	किं त्वं व्यस्तओसि
are you married or single	त्वं एकलं एकलोअसि वा
are you married	भवान् विवाहिता
Are you still there?	किं त्वं तथेव असि?
are you there	किं त्वं तत्र असि
are you	त्वं असि
are	सन्ति
argue	तर्कयति
argument	तर्क
arise	उत्पद्
army	सैन्यदल
arm	बाहु
around	सर्वतः
arrangement	व्यवस्थाम्
arrange	आयुजति
arrival	आगमन
arrived	आगच्छत्
arrive	आगच्छति
arrogant	रूक्षं
arrow	बाण
article	आलेख
artificial	कृत्रिम
