abandoned	পৰিত্যক্ত কৰা
abandon	পৰিত্যাগ
abide	মানি চলা
ability	সক্ষমতা
able	সক্ষম
about	বিষয়ে
above	ওপৰত
abroad	দেশৰ বাহিৰত
absence	অনুপস্থিতি
absent	অনুপস্থিত
absolutely	নিৰ্ঘাত
absorb	শুহি লোৱা
abstract	বিমূৰ্ত
absurd	অযুক্তিকৰ
abundance	পৰ্যাপ্ত
abundant	প্ৰচুৰ
abuse	অপব্যৱহাৰ
accent	উচ্চাৰণ
accept	গ্ৰহণ কৰা
access	প্ৰৱেশাধিকাৰ
accident	দুৰ্ঘটনা
accommodation	বাসস্থান
accomplished	নিপুণ
accomplish	সম্পূৰ্ণ
according	অনুসৰি
account	একাউণ্ট
accuracy	শুদ্ধতা
accurate	সঠিক
accused	অভিযুক্ত
ache	বিষ
achievement	প্ৰাপ্তি
achieve	প্ৰাপ্ত কৰা
acknowledge	স্বীকাৰ কৰা
acquaintance	চিনাকি ব্যক্তি
acquired	অৰ্জিত
acquire	আঁকুৱালি
acquisition	অধিগ্ৰহণ
across	ইমূৰৰ পৰা সিমূৰলৈ
action	কাৰ্য কৰা
active	সক্ৰিয়
activities	কাৰ্যকলাপ
activity	কাৰ্যকলাপ
actor	অভিনেতা
actually	আচলতে
actual	আচল
act	অভিনয়
acute	সূক্ষ্ম
adapt	খাপ খোৱা
addicted	নিচাসক্ত
additional	অতিৰিক্ত
addition	যোগ
address	ঠিকনা
add	যোগ কৰা
adequate	পৰ্যাপ্ত
adjacent	পাৰ্শ্বৱৰ্তী
adjective	বিশেষণ
adjust	খাপ খোৱা
admire	প্ৰশংসা কৰা
admit	মানি লোৱা
adopt	তুলি লোৱা
adorable	মৰমলগা
advanced	উন্নত হোৱা
advance	আগতীয়া
advantage	সুবিধা
adventure	এডভেঞ্চাৰ
adverb	ক্ৰিয়া বিশেষণ
advertisement	বিজ্ঞাপন
advertising	বিজ্ঞাপন
advice	পৰামৰ্শ
advise	পৰামৰ্শ দিয়া
advocate	উকীল
aesthetic	সৌন্দৰ্য বিষয়ক
affair	বেপাৰ
affection	স্নেহ
affect	প্ৰভাৱিত কৰা
affordable	সুলভ
afford	কৰিবলৈ সামৰ্থ্য হোৱা
afraid	ভয় কৰা
afternoon	আবেলি
afterwards	পাছত
after	পাছত
against	বিৰুদ্ধে
again	পুনৰ
agency	এজেন্সী
agent	এজেণ্ট
age	বয়স
aggressive	আক্ৰমণাত্মক
agile	চঞ্চল
ago	আগতে
agreement	চুক্তি
agree	সহমত
agriculture	কৃষি
ahead	সময়তকৈ আগত
aid	সাহায্য
aim	লক্ষ্য
airport	বিমান-বন্দৰ
air	বতাহ
aisle	আসনবোৰৰ মাজেৰে অহা-যোৱা কৰা ঠাই
alarm	সতৰ্কবাৰ্তা
alcohol	সুৰা
alert	সতৰ্ক
a little	অলপমান
alive	জীৱন্ত
allowed	সন্মতি দিয়া
allow	অনুমতি দিয়া
