a little	قليل
a lot	كتير
a lot of	الكتير من
abandon	يتخلى عن
abandoned	مهجور
abandoned	متروك
abide	يلتزم
ability	قدرة
able	قادر
about	عَنْ
about	حَوْل
above	فوق
above	أعلى
abroad	برّا البلد
absence	غياب
absent	غايب
absolutely	قطعاً
absorb	يمصّ
abstract	خُلاصة
absurd	سخيف
abundance	في كتير
abundance	وفرة
abundant	وافر
abundant	كتير
abuse	إساءة
abuse	مسبّة
accent	لهجة
accept	بيقبل
access	ولوج
access	دخول
accident	حادث
accommodation	توصية
accomplish	ينجز
accomplish	يتم
accomplished	مكمّل
accomplished	متفوّق
according	حسب
account	حساب
accuracy	دقة
accurate	دقيق
accurate	مظبوط
accused	متّهم
ache	وجع
achieve	ينجز
achieve	بيقدر يعمل
achieve	بينجز
achievement	إنجاز
acknowledge	بيقرّ
acquaintance	معرفة شخصية
acquaintance	اطلاع
acquire	كسب
acquired	مكتسب
acquisition	اكتسب
across	على طول
across	من خلال
act	بيمثّل
action	حركة
action	فعل
active	نشيط
active	حِرِك
activities	أنشطة
activity	نشاط
actor	ممثل
actual	فِعلي
actually	بصراحة
actually	بالحقيقة
acute	فطِن
adapt	بيتأقلم
add	يزيد
add	يضيف
addicted	مدمن
addition	إضافة
additional	زيادة
address	عنوان
address	يحاكي
adequate	مناسب
adequate	مقبول
adjacent	قريب من
adjacent	جنب
adjective	صفة
adjust	يعدّل
admire	معجب
admit	يعترف
adopt	يتبنى
adopt	يرعى
adorable	حبّاب
advance	تحسّن
advance	خطوة لقدام
advanced	متقدم
advantage	مصلحة
advantage	منفعة
adventure	مغامرة
adverb	ظرف
advertisement	إعلان
advertising	دعاية
advice	نصيحة
advice	مشورة
advise	ينصح
advocate	محامي الدفاع
advocate	يدافع عن
aesthetic	جمالي
affair	مسألة
affair	علاقة غرامية
affect	بيأثر
affection	تعلُّق
affection	عاطفة
afford	يتحمل
affordable	بقدر اتحملو
affordable	مقدور عليه
afraid	خايف
afraid	خائف
after	بعد
afternoon	بعد الضهر
afterwards	بعد هيك مباشرةً
again	مرة تانية
again	من جديد
against	ضد
against	مقابل
age	عمر
agency	وكالة
agent	مندوب
aggressive	عدواني
aggressive	عنيف
agile	رشيق
ago	مضت
agree	موافق
agreement	اتفاق
agriculture	زراعة
