a	ᐅᓇ
a	ᐊ
a little	ᒥᑭᔪᒥ
a lot	ᐊᔅᓱᐊᓗᒃ
a lot of	ᐊᒥᓱᑦ
abandon	ᕿᒪᐃᓐᓇᐃᓂᖅ
abandoned	ᐃᒃᓯᓐᓇᐃᓂᖅ
abide	ᒪᓕᑦᑎᐊᕐᓂᖅ
ability	ᐱᔪᓐᓇᕐᓂᖅ
able	ᐱᔪᓐᓇᖅᑐᖅ
about	ᖃᓂᑦᑐᑦ
about	ᒥᒃᓵᓄᑦ
above	ᖁᓛᓂ
abroad	ᑲᓇᑕᐅᑉ ᓯᓚᑖᓂ
absence	ᐅᐸᙱᓐᓂᖅ
absent	ᐅᐸᙱᑦᑕᕆᐊᖃᖅᑐᖅ
absolutely	ᐄᑦᑎᐊᒻᒪᕆᒃ
absorb	ᐱᔭᐅᔪᖅ
abstract	ᐃᓱᒪᒋᔭᐅᔪᖅ
absurd	ᑐᑭᖃᙱᑦᑐᖅ
absurd	ᐃᓱᒪᐃᑦᑐᖅ
abundance	ᐊᒥᒐᙱᑦᑐᖅ
abundant	ᐊᒥᓲ ᐊᒥᓲᓂᖏᑦ
abuse	ᐱᓂᕐᓗᒃᑕᐅᓂᖅ
accent	ᑎᐱᖓ
accept	ᐊᖏᖅᑐᖅ
access	ᐊᑐᐃᓐᓇᖃᕐᓂᖅ
accident	ᐊᓇᐅᑖᖅᑐᖅ
accommodation	ᑐᔪᕐᒥᔾᔪᑏᑦ
accomplish	ᐊᓂᒍᖅᑎᑕᐅᔪᑦ
accomplished	ᐱᔭᕇᖅᑕᐅᓯᒪᔪᑦ
according	ᒪᓕᒡᓗᒍ
account	ᑮᓇᐅᔭᖁᑎᖃᕐᕕᒃ
accuracy	ᓇᓛᒎᑦᑎᐊᕐᓂᖅ
accurate	ᑕᒻᒪᖅᓯᒪᙱᑦᑐᑦ
accused	ᐸᓯᔭᐅᔪᖅ
ache	ᕿᓕᖓᔪᖅ
achieve	ᐊᓂᒍᐃᓂᖅ
achievement	ᐱᓕᕆᐊᖑᖃᑦᑕᖅᓯᒪᔪᑦ
acknowledge	ᓇᓗᓇᐃᕐᓗᒍ
acquaintance	ᖃᐅᔨᒪᙱᓐᓂᖅ
acquire	ᐱᑖᕆᑦ
acquired	ᓂᐅᕕᐊᖑᓯᒪᔪᑦ
acquisition	ᓂᐅᕕᕐᓂᐊᕐᓂᖅ
across	ᐊᑭᐊᓂ
act	ᐱᖁᔭᖅ
action	ᐱᓕᕆᐊᖅ
active	ᐆᒻᒪᕆᒃᑐᖅ
activities	ᐱᓕᕆᐊᒃᓴᑦ
activity	ᐱᓕᕆᐊᒃᓴᑦ
actor	ᑭᓇᐅᙳᐊᕐᓂᖅ
actual	ᐊᑭᓪᓚᕆᐊ
actually	ᐊᓱᐃᓛᒃ
acute	ᐱᕕᖅᑐᖅ
adapt	ᓱᖏᐅᑎᓂᖅ
add	ᐃᓚᓗᒍ
addicted	ᐅᐃᕆᓯᒪᓂᖅ
addition	ᐃᓚᒋᐊᖅᑕᖅ
additional	ᐃᓚᒃᑲᓐᓂᖏᑦ
address	ᑐᕌᕈᑎᖓ
adequate	ᓈᒻᒪᒃᑐᖅ
adjacent	ᖃᓂᒋᔭᖓ
adjective	ᑐᕌᒐᖅ
adjust	ᐋᖅᑭᒋᐊᕐᓗᒋᑦ
admire	ᐱᒃᑯᒋᔭᖅ
admit	ᐸᓯᓂᖅ
adopt	ᐊᑐᓕᕐᓂᖅ
adorable	ᓈᒻᒪᑦᑎᐊᖅᑐᖅ
advance	ᓯᕗᓂᐊᒍᑦ
advanced	ᓯᕗᕙᓯᒃᑐᖅ
advantage	ᐊᑲᕐᕉᑎᑦ
adventure	ᖃᓄᐃᓕᐅᕈᓘᔭᕐᓂᖅ
adverb	ᐅᖃᕐᕕᒃ
advertisement	ᒪᓂᓴᐅᑎᑦ
advertising	ᓴᖅᑭᔮᖅᑎᑦᑎᓂᖕᒧᑦ
advice	ᐅᖃᐅᔾᔨᓂᖅ
advise	ᐅᖃᐅᔾᔨᓂᖅ
advocate	ᑭᒡᒐᖅᑐᐃᔨ
aesthetic	ᑕᐅᑦᑐᖓᒍᑦ
affair	ᓂᖀᑦ
affect	ᐊᒃᑑᑎᔪᖅ
affection	ᐊᒃᑐᐃᔪᖅ
afford	ᓂᐅᕕᕈᓐᓇᕐᓂᖅ
affordable	ᐊᑭᑐᓗᐊᙱᑦᑐᑦ
afraid	ᑲᑉᐱᐊᓱᖕᓂᖅ
after	ᑭᖑᓂᐊᓂ
afternoon	ᐅᓪᓗᑯᑦ
afterwards	ᑭᖑᓂᖓᒍᑦ
again	ᐱᒃᑲᓐᓂᕐᓂᖅ
again	ᓱᓕᒃᑲᓐᓂᖅ
against	ᐊᑭᕋᖅᑐᖅᑐᖅ
age	ᐅᑭᐅᖓ
agency	ᐱᒍᔨᓴᕐᕕ
agent	ᐱᓕᕆᔨ
aggressive	ᓲᖑᔪᖅ
agile	ᐃᒡᒑᖅᑐᖅ
ago	ᐅᐊᑦᑎᐊᓵᖅ
agree	ᐊᖏᖅᑐᖅ
agreement	ᐊᖏᖃᑎᒌᒍᑎ
agriculture	ᐱᕈᖅᓰᓂᖅ
ahead	ᓯᕗᓂᐊᒍᑦ
aid	ᐃᑲᔪᖅᑕᐅᓂᖅ
aim	ᑐᕌᕆᔭᖅ
air	ᐊᓂᕐᓂᒃᓴᖅ
airport	ᒥᕝᕕᒃ
aisle	ᓯᓕᔅ
alarm	ᖁᖁᐊᕈᑎ
alcohol	ᐃᒥᐊᓗᒃ
alert	ᐅᔾᔨᖅᓴᖅᑐᖅ
alive	ᐆᒪᓂᖅ
all	ᑕᒪᕐᒥᒃ
all right	ᐊᓱᐃᓛᒃ
all the best	ᐱᐅᓛᒃᑰᕐᓗᓯ
allow	ᐱᕕᖃᖅᑎᓐᓂᖅ
allowed	ᐱᔪᓐᓇᖅᑎᑕᐅᔪᖅ
almost	ᑲᓱᑲᓴᒃᑐᖅ
alone	ᐃᓄᑐᐊᖅ
along	ᐃᓚᖃᕐᓗᓂ
already	ᐱᓯᒫᓂᓕᖅᑐᖅ
Alright	ᐊᖏᑐᐃᓐᓇᖅᑐᖅ
also	ᐊᒻᒪ
also	ᐊᒻᒪᓗ
alternative	ᐊᓯᐊᒍᖔᖅ
although	ᐃᒪᐃᒃᑲᓗᐊᖅᑎᓪᓗᒍ
although	ᑕᐃᒪᐃᒃᑲᓗᐊᖅᑎᓪᓗᒍ
always	ᓱᓕᓐᓈᖅᓱᒻ
always	ᒐᔪᒃᑐᖅ
am	ᐅᕙᖓ
amazing	ᐅᒃᐱᕐᓇᖏᑦᑐᖅ
ambiguous	ᑐᑭᓯᓇᙱᑦᑐᖅ
ambition	ᐱᓂᐊᕈᒪᓂᖅ
ambitious	ᐱᔪᒪᓂᖃᕐᓂᖅ
amend	ᐋᖅᑭᒋᐊᕐᓗᒍ
amid	ᐊᒪᐃᑦ
among	ᐅᑯᓇᓂ
among us	ᐅᕙᑦᑎᓐᓂ
amount	ᖃᑎᓪᓗᒋᑦ
amusing	ᒥᑕᕐᓂᖅ
an	ᐊᑕᐅᓯᖅ
analysis	ᕿᒥᕐᕈᓂᖅ
ancestors	ᓯᕗᕚᕗᑦ
anchor	ᑭᓴᐅᑦ
anchor	ᑭᓴᕐᕕᒃ
ancient	ᐃᑦᑕᕐᓂᑕᐃᑦ
ancient	ᐅᐊᑦᑎᐊᕈᕐᓂᓴᖅ
and	ᐊᒻᒪ
and	ᐊᒻᒪᓗ
and you	ᐃᕝᕕᓪᓗ
angel	ᓂᕐᓕᖅ
anger	ᓂᙵᐅᒪᓂᖅ
angle	ᑎᕆᖅᑯᖅ
angry	ᒪᒥᐊᓱᒃᑐᖅ
angry	ᓂᙵᒃᑐᖅ
animal	ᐆᒪᔪᖅ
ankle	ᓯᖏᕐᓂᖅ
anniversary	ᓇᓪᓕᐅᓯᒪᔪᖅ
announcement	ᑐᓴᒐᒃᓴᖅ
annoy	ᓇᓗᓈᒋᔪᖅ
annoyed	ᑲᖐᒋᔭᖃᙱᑦᑐᖅ
annoying	ᐸᕝᕕᓴᕐᓂᖅ
annual	ᐊᕌᕐᒍᑕᒫᑦ
anonymous	ᑭᓇᐅᖕᒪᖔᑦ ᖃᐅᔨᔭᐅᔮᙱᑦᑐᖅ
another	ᐊᓯᐊ
answer	ᑭᐅᔾᔪᑎ
answer	ᑭᐅᓂᖅ
anticipate	ᓂᕆᐅᒋᔭᖅ
anxiety	ᐃᓱᒫᓗᓐᓂᖅ
anxious	ᓯᕘᕋᔪᖅ
any	ᓇᓕᐊᑐᐃᓐᓇᖅ
anymore	ᓱᓕᒃᑲᓐᓂᖅ
anyone	ᑭᓇᑐᐃᓐᓇᖅ
anything	ᑭᓱᑐᐃᓐᓇᖅ
anyway	ᖃᓄᑐᐃᓐᓇᖅ
anyway	ᓱᑐᐃᓐᓇᑦᑎᐊᖅ
anyways	ᓱᑐᐃᓐᓇᑦᑎᐊᖅ
apart	ᐅᖓᓯᒌᒃ
apartment	ᑲᑎᙵᐅᖅᑐᑦ
apologize	ᒪᒥᐊᑉᐳᖓ
apparent	ᑕᑯᒃᓴᐅᔪᖅ
apparently	ᓱᓇᐅᕝᕙ
appeal	ᐊᔪᐃᓐᓇᕆᐊᑲᓐᓂᕐᓂᖅ
appear	ᓴᖅᑭᓐᓂᖅ
appear	ᑕᑯᒃᓴᐅᔪᖅ
appearance	ᑕᑯᓐᓇᕐᓂᖓ
appeared	ᓴᖅᑭᖅᑐᖅ
appetite	ᓂᕆᔪᒪᓂᖅ
apple	ᐋᐳ
application	ᐊᑐᖅᑎᑕᐅᓂᖓ
apply	ᐃᓕᓯᓂᖅ
appointment	ᐃᓂᒃᓴᖅ
appreciate	ᐃᑉᐱᒍᓱᒃᑐᖅ
appreciate	ᐊᓕᐊᓇᐃᓱᓐᓂᖅ
appreciation	ᐊᑭᑐᓕᖅᐸᓪᓕᐊᓂᖅ
approach	ᖃᒡᓕᕙᓪᓕᐊᓂᖅ
approach	ᑐᕌᖅᑕᐅᓇᓱᒃᑐᖅ
appropriate	ᓈᒻᒪᒃᑐᖅ
approval	ᐊᖏᖅᑕᐅᓂᖓ
approve	ᐊᖏᖅᑕᖅ
approved	ᐊᖏᖅᑕᐅᓯᒪᔪᖅ
approximately	ᓪᓗᐊᖅ
april	ᐊᐃᕆᓕ
april	ᑎᕆᓪᓗᓕᐅᑦ
arbitrary	ᐃᓱᒪᖅᓲᑕᐅᔪᖅ
architect	ᐃᒡᓗᐃᑦ ᓴᓇᒪᓂᖏᓐᓂᑦ
architecture	ᓴᓇᒪᓂᖓ
archive	ᑐᖅᑯᖅᑕᐅᓯᒪᔪᑦ
are	ᑖᒃᑯᐊᖑᕗᑦ
are you	ᐃᒪᐃᑦᑑᕕᑦ
are you busy	ᐱᓕᕆᕖᑦ
are you married	ᑲᑎᑎᑕᐅᓯᒪᕖᑦ
are you married or single	ᑲᑎᑎᑕᐅᓯᒪᕕᑦ ᐅᕝᕙᓘᓐᓃᑦ ᐊᐃᑉᐸᖃᖅᐱᑦ
Are you still there?	ᓱᓕ ᑕᐃᑲᓃᑉᐱᑦ?
are you there	ᑕᐃᑲᓃᑉᐱᑦ
area	ᐃᓂᒋᔭᐅᔪᖅ
argue	ᐊᐃᕙᓂᖅ
argument	ᐊᐃᕙᓂᖅ
arise	ᓴᖅᑭᖅᑐᖅ
arm	ᑕᓕᖅ
army	ᐅᓇᑕᖅᑐᒃᓴᖅ
around	ᓇᒥᓗᒃᑖᖅ
arrange	ᐋᖅᑭᒃᓯᓂᖅ
arrangement	ᐋᖅᑭᒃᓯᒪᓂᖓ
arrival	ᑎᑭᑉᐸᑦ
arrive	ᑎᑭᓐᓂᖅᑐᖅ
arrived	ᑎᑭᖦᖢᓂ
arrogant	ᖃᕐᔪᙳᐊᖅ
arrow	ᖃᕐᔪᙳᐊᖅ
art	ᓴᓇᐅᒐᓕᕆᓂᖅ
article	ᑎᑎᕋᖅᓯᒪᔪᖅ
artificial	ᐱᓪᓚᑦᑖᙳᐊᖅ
artist	ᓴᓇᙳᐊᖅᑎ
as	ᑎᑐᑦ
as	ᐃᒻᒪᑐᑦ
as long as	ᑭᓯᐊᓂᓕ
as well	ᐊᒻᒪᓗᑦᑕᐅᖅ
as well as	ᐊᒻᒪᓗᑦᑕᐅᖅ
ash	ᐊᕐᔭᑦ
ashamed	ᑲᙳᓱᒃᓯᒪᔪᖅ
ask	ᐊᐱᕆ
asked	ᐊᐱᕆᔭᖅ
asleep	ᓯᓂᒃᑐᖅ
aspect	ᐃᓗᓕᖏᑦ
Assamese	ᐊᓴᒦᔅ
assault	ᐱᒋᐊᖅᓯᔪᖅ
assembly	ᒪᓕᒐᓕᐅᕐᕕᒃ
assertive	ᒪᓂᑐᐃᓐᓇᕐᓂᖅ
assess	ᖃᐅᔨᓴᕐᓗᒍ
assessment	ᖃᐅᔨᓴᕐᓂᖅ
asset	ᐱᒋᔭᑦ
assets	ᐱᖁᑎᑦ
assign	ᑐᓂᓯᓂᖅ
assignment	ᐱᓕᕆᐊᒃᓴᑦ
assist	ᐃᑲᔪᕐᓂᖅ
assistant	ᐃᑲᔪᖅᑎ
associate	ᐃᓚᒋᔭᐅᔪᖅ
associated	ᐊᒃᑐᐊᓂᓖᑦ
association	ᑲᑐᔾᔨᖃᑎᒌᑦ
assume	ᑕᐃᒪᓐᓇᐃᓐᓇᓱᒋᔭᖃᕐᓂᖅ
assumption	ᑲᖐᒋᔭᐅᔪᖅ
at	ᑖᕙᓂ
at least	ᐊᒃᓱᓪᓘᓐᓃᑦ
ate	ᓂᕆᔪᖅ
athlete	ᐱᙳᐊᖅᑎ
attach	ᐃᓚᓕᐅᑎᓯᒪᔪᖅ
attached	ᐊᑕᔪᖅ
attachment	ᐃᓚᓕᐅᑎᓯᒪᔪᖅ
attack	ᐱᒋᐊᖅᓯᔪᖅ
attempt	ᐱᓇᓱᖕᓂᖅ
attend	ᐃᓚᒋᔭᐅᓂᖅ
attendance	ᐅᐸᖃᑦᑕᖅᑐᑦ
attention	ᖃᐅᔨᒪᖁᔨᓂᖅ
attitude	ᖃᓄᐃᓕᖓᓂᖓ
attract	ᐅᐸᒍᒥᓇᖅᑐᖅ
attraction	ᐅᐸᒍᒥᓇᖅᑐᖅ
attractive	ᑕᑯᔪᒥᓇᖅᑐᖅ
attribute	ᓇᓗᓇᙱᔾᔪᑎᖏᑦ
audience	ᓈᓚᒃᑎᑦ
august	ᐊᐅᔭᓕᕈᑦ
august	ᐅᒍᔅᓯ
aunt	ᐊᑦᑕᒃ
aunty	ᐊᑦᑕᑎᖓ
authentic	ᓱᓕᑦᑎᐊᖅᑐᖅ
author	ᑎᑎᕋᖅᑎ
authority	ᐱᔪᓐᓇᕐᓂᓕᒃ
autumn	ᐅᑭᐊᖅ
available	ᑕᐃᒪᐃᔪᑦ
available	ᐊᑐᐃᓐᓇᖅ
average	ᐊᑯᓐᓂᖅᓱᖅᑐᖅ
avoid	ᐱᑦᑕᐃᓕᓂᖅ
awake	ᐃᖅᑯᒻᒪᕐᓂᖅ
award	ᑐᓂᔭᐅᔪᖅ
award	ᐃᓕᑕᖅᓯᓂᖅ
aware	ᐅᔾᔨᕈᓱᖕᓂᖅ
awareness	ᐅᔾᔨᕈᓱᖕᓂᖅ
away	ᕿᒪᒃᓯᔪᖅ
awesome	ᐱᐅᔪᒻᒪᕆᒃ
