trocha	a little
wiela	a lot
srogo	a lot of
ôpuścić	abandon
ôpuszczać	abandon
ôpuszczōny	abandoned
przestrzegać	abide
kōnszt	ability
zdolny	able
zdatny	able
ô	about
kole	about
powyżyj	above
pōnad	above
za granicōm	abroad
zagranica	abroad
brak	absence
niyôbecny	absent
absolutnie	absolutely
absorbować	absorb
abstrakcyjny	abstract
skrōt	abstract
absurd	absurd
absurdalny	absurd
hojność	abundance
hojny	abundant
nadużywać	abuse
katrupić	abuse
akcynt	accent
zaakceptować	accept
akceptować	accept
dostymp	access
przistymp	access
wypodek	accident
kwatyrōnek	accommodation
ôsiōngać	accomplish
perfekt	accomplished
podle	according
kōnto	account
report	account
akuratność	accuracy
akuratny	accurate
ôbskarżōny	accused
boleć	ache
ôsiōngnōńć	achieve
ôsiōngniyńcie	achievement
uznować	acknowledge
znajōmy	acquaintance
nabywać	acquire
nabyty	acquired
nabytek	acquisition
bez	across
fungować	act
gezec	act
akt	act
fungowanie	action
akcyjo	action
aktywny	active
zajyńcia	activities
aktywność	activity
aktōr	actor
rzeczywisty	actual
doprowdy	actually
faktycznie	actually
naprowda	actually
ôstry	acute
przisztymować sie	adapt
przidać	add
przidować	add
uzależniōny	addicted
przidowek	addition
ekstra	additional
adresa	address
prawić	address
adekwatny	adequate
przilygajōncy	adjacent
przimiotnik	adjective
sztalować	adjust
podziwiać	admire
prziznować	admit
przijmnōńć	adopt
urodny	adorable
postymp	advance
ôsiōngniyńcie	advance
wyższy	advanced
wysuniynty	advanced
korziść	advantage
przigoda	adventure
przisłōwek	adverb
roznajmiynie	advertisement
reklama	advertisement
reklama	advertising
dorada	advice
radzić	advise
adwokat	advocate
rzecznik	advocate
estetyczny	aesthetic
estetyka	aesthetic
rōmans	affair
wpływać	affect
sympatyjo	affection
stać	afford
przizwolić sie	afford
przistympny	affordable
strach	afraid
po	after
popołednie	afternoon
potym	afterwards
zaś	again
przeciwko	against
wiek	age
agyncyjo	agency
agynt	agent
agresywny	aggressive
grajfny	agile
tymu	ago
zgoda	agree
zgodzać sie	agree
ugoda	agreement
bauerstwo	agriculture
dalij	ahead
z przodku	ahead
do przodku	ahead
pōmoc	aid
cyl	aim
cylować	aim
luft	air
lotnisko	airport
nawa	aisle
alarm	alarm
alkohol	alcohol
alarm	alert
żywy	alive
wszysko	all
wszyscy	all
W porzōndku	all right
wszyjskigo nojlepszego	all the best
przizwolać	allow
przizwolōny	allowed
hned	almost
bezma	almost
sōm	alone
wduż	along
już	already
W porzōndku	Alright
tyż	also
jak tyż	also
alternatywny	alternative
chocioż	although
zawsze	always
dycki	always
zawdy	always
je żech	am
niyôbyczajny	amazing
szumny	amazing
dwuznaczny	ambiguous
ambicyjo	ambition
ambitny	ambitious
poprawka	amend
poprawiać	amend
postrzōd	amid
postrzōd	among
postrzōd nos	among us
wielość	amount
kwota	amount
liczba	amount
ucieszny	amusing
analiza	analysis
praôjce	ancestors
ankra	anchor
starożytny	ancient
i	and
a	and
a ty	and you
anielski	angel
aniōł	angel
zgorszynie	anger
kōnt	angle
zły	angry
zwiyrza	animal
zwiyrzoki	animal
kostka	ankle
rocznica	anniversary
roznajmiynie	announcement
ôbznajmiynie	announcement
nerwować	annoy
podrożniōny	annoyed
gorszōncy	annoying
coroczny	annual
anōnimowy	anonymous
inkszy	another
ôdpowiadać	answer
ôdpowiydź	answer
przewidować	anticipate
strach	anxiety
lynk	anxiety
zeszterowany	anxious
jaki ino	any
lecy jaki	any
niy wiyncyj	anymore
fto ino	anyone
egal fto	anyone
