a	एगो
a little	तनी-मनी
a lot	बड़ी मनी
a lot of	ढेर सारा
abandon	छोड़ दिहल
abandoned	छोड़ल
abide	पालन ​​करल
ability	जोग्यता
able	सक्षम
about	बारे में
above	ऊपरे
abroad	बिलाईत
absence	गैरमौजूदगी
absent	अनुपस्थित
absolutely	बिल्कुल
absorb	सोख लेलक
abstract	सारांश
absurd	बेमतलब
abundance	खूब मनी
abundant	खूब मनी
abuse	गरियावल
accent	लहजा
accept	स्वीकार करअ
access	पहुँच
accident	दुरघटना
accommodation	रहे के जगह
accomplish	पूरा करऽ
accomplished	पूरा होएल
according	अनुसार
account	खाता
accuracy	शुद्धता
accurate	सटीक
accused	दोषी
ache	दर्द
ache	दरद
achieve	प्राप्त करअ
achievement	उपलबधि
acknowledge	स्वीकार करल
acquaintance	जान-पहचान
acquire	लेल
acquired	अर्जित
acquisition	अधिग्रहण
across	आर-पार/हर जगह
act	करअ
action	कार्रवाई
active	सक्रिय
activities	गतिविधि
activity	गतिविधि
actor	अभिनेता
actual	वास्तविक
actually	असल में
acute	नुकीला
adapt	अनुकूल बनावल
add	जोड़ल
addicted	आसक्त
addition	जोड़
additional	अतिरिक्त
address	पता
adequate	पर्याप्त
adjacent	बगल के
adjective	विशेषण
adjust	ठीक से रखल
admire	बड़ाई करल
admit	मान लेल
adopt	अपनावल
adorable	देखे लायक
advance	आगे बढ़अ
advanced	उन्नत
advantage	लाभ
adventure	साहसिक काम
adverb	क्रिया विशेषण
advertisement	विग्यापन
advertising	विज्ञापन
advice	सलाह
advise	सलाह
advocate	वकील
aesthetic	सुरुचिपूर्ण
affair	मामला
affect	प्रभाव डालल
affection	नेह
afford	संभव हवअ
affordable	किफायती
afraid	डर
after	बाद में
afternoon	दुपहरिया के बाद
afterwards	ओकरा बाद में
again	फिर से
against	खिलाफ
age	उम्र
agency	एजेंसी
agent	एजेंट
aggressive	आक्रामक
agile	चुस्त
ago	पहिले
agree	सहमत
agreement	समझौता
agriculture	खेती
ahead	आगे
aid	सहायता
aim	निशाना
air	हवा
airport	हवाई अड्डा
aisle	गलियारा
alarm	अलार्म
alcohol	शराब
alert	चेतावनी
alive	जिंदा
all	सब
all right	ठीक हवअ
all the best	सुभकामना
allow	अनुमति
allowed	अनुमत
almost	लगभग
