een	a
een pisye	a little
tsu fiil	a lot
fiil	a lot of
ferlosung	abandon
newer kelos	abandoned
ferlost	abandoned
plaype	abide
pay xteen	abide
apiliteet	ability
khan	able
imxtant	able
feehich	able
iwich	about
oowe	above
iwer	above
auslant	abroad
kans sicher	absolutely
apsorwiire	absorb
uf nëme	absorb
apstrakt	abstract
sinlos	absurd
iwerflus	abundance
iwermeesich	abundance
raychlich	abundant
misprauch	abuse
aus nutse	abuse
aktsent	accent
aan nëme	accept
tsukang	access
unfal	accident
akomotatsyoon	accommodation
unerpringung	accommodation
hin pringe	accomplish
erayche	accomplish
hin kriit	accomplished
tem noo	according
conta	account
kenauheet	accuracy
kenau	accurate
pexultich	accused
aankleer	accused
phayn	ache
in hoole	achieve
erayche	achieve
eraychtung	achievement
erkhene	acknowledge
khëntnis	acquaintance
uf pringe	acquire
kriit	acquired
akisitsyoon	acquisition
aanxafung	acquisition
iwich	across
hantele	act
in krayfe	act
aktsyoon	action
aktiiw	active
aktiwiteete	activities
aktiwiteet	activity
aktoer	actor
khërts	actual
aktual	actual
in woerheet	actually
akut	acute
aan phase	adapt
atitsyoneere	add
sichtich	addicted
aphëngich	addicted
atitsyoon	addition
ekstre	additional
aditsyonaal	additional
atrës	address
aanxtëntich	adequate
atekwaat	adequate
atxatsent	adjacent
atxektiiw	adjective
aan phase	adjust
pesiin	admire
ferwunere	admire
pekuke	admire
aan xtele	admit
erkhëne	admit
aan nëme	admit
atoteere	adopt
aan nëme	adopt
liiplich	adorable
foran keen	advance
motërn	advanced
fortel	advantage
atwereb	adverb
aantsaychung	advertisement
aantsaychung	advertising
pekhantmachung	advertising
aanreet	advice
aanreet	advise
atwokaat	advocate
sache	affair
wërke	affect
xtraychle	affection
xtitse	afford
tsukënklich	affordable
mit pang	afraid
nochter	after
noo mitaach	afternoon
nochter	afterwards
noo	afterwards
noch mool	again
keeche	against
alt	age
norichtum	agency
axent	agent
krop	aggressive
akresiiw	aggressive
violënt	aggressive
flik	agile
floot	agile
foer	ago
tsurik	ago
xtime	agree
alians	agreement
akorto	agreement
lantwertxaft	agriculture
foner	ahead
hilef	aid
tsiile	aim
fisiire	aim
luft	air
luftxif khamp	airport
kang	aisle
alarm	alarm
alkohool	alcohol
alarm	alert
lepeentich	alive
ale	all
ales in ortnung	all right
ales kuut	all the best
erlaupe	allow
erlaupt	allowed
nekst	almost
aleen	alone
pay samer	along
tepay	along
pay	along
xon	already
in ortnung	Alright
aach	also
alternatiiw	alternative
opwool	although
imer	always
sin	am
erxtauntlich	amazing
tswaaytaytich	ambiguous
eherkays	ambition
kiirichkheet	ambition
hërkaytsich	ambitious
ënere	amend
tswixich	amid
unich	among
unich uns	among us
kwantiteet	amount
xamant	amusing
ferkniichung	amusing
een	an
anaalis	analysis
unersuuchung	analysis
foerkhomer	ancestors
apxtant	ancestors
anker	anchor
alt	ancient
un	and
un teyer	and you
un tuu	and you
engel	angel
wuut	anger
winkel	angle
pees	angry
tiere	animal
enkel	ankle
hayrat kepotstaach	anniversary
pekhantmachung	announcement
ëriche	annoy
ayerlich	annoyed
xapich	annoying
yoerlich	annual
anonim	anonymous
naamelos	anonymous
aner	another
antworte	answer
