a	asiki
a little	abedik
a lot	akéh pesan
a lot of	liyu pesan
abandon	sing ngerunguang
abandoned	sing ade ngerunguang
abide	nuutin
ability	kamampuan
able	ngidaang
about	indik
above	beduur
abroad	dura negara
absence	ten hadir
absent	ten masuk
absolutely	pasti
absorb	nyerep
abstract	abstrak
absurd	ten masuk akal
abundance	liyuné
abundant	liyu pesan
abuse	ngina
abuse	nyiksa
accent	logat
accept	terima
access	akses
accident	kacelakaan
accommodation	genah nginep
accomplish	mencapai
accomplished	tercapai
according	manurut
account	akun
accuracy	katepatan
accurate	beneh gati
accused	kapituduh
ache	sakit
achieve	polih
achievement	prestasi
acknowledge	ucapan suksma
acknowledge	ngakuin
acquaintance	kenalan
acquire	ngemilikin
acquired	memperolih
acquisition	akuisisi
across	ring samian
act	ngalakuin
action	aksi
active	aktip
activities	kagiatan
activity	kagiatan
actor	aktor
actual	sané benehné
actually	sebenehne
acute	akut
adapt	menyesuaiang
add	nambahang
addicted	kacanduan
addition	tambahan
additional	tambahan
address	alamat
adequate	acukupan
adjacent	paek
adjective	raos sipat
adjust	nyesuaiang
admire	kagum
admit	ngakuin
adopt	ngadopsi
adorable	ngaé kagum
advance	mejalan maju
advance	maju
advance	ngarayu
advanced	sampun maju
advantage	kauntungan
adventure	patualangan
adverb	raos keterangan
advertisement	iklan
advertising	pariklanan
advice	pengajah
advise	saran
advocate	panyokong
aesthetic	estetik
affair	hubungan gelap
affair	urusan
affect	ngakibatang
affection	kasih
afford	ngidaang polih
affordable	dadi kapolihang
afraid	takut
after	usan
afternoon	sanja
afterwards	usan ipun
again	buin
against	ngelawan
age	yusa
agency	agénsi
agent	agén
aggressive	bes bani
agile	tangkas
ago	pidan
agree	setuju
agreement	kasepakatan
agriculture	pertanian
ahead	ring malu
aid	bantuan
aim	sasaran
aim	tatujon
air	angina
airport	bandara
aisle	gang
alarm	alarem
alcohol	alkohol
alert	paringatan
alive	idup
all	samian
all right	oké
all the best	dumogi beruntung
allow	ngijinang
allowed	baanga ijin
almost	ampir
alone	padidian
along	ring sapanjang
already	sampun
Alright	Nah
also	masi
alternative	alternatip
although	meskipun
always	terus
am	jani adalah
amazing	hebat
ambiguous	sipatné ambigu
ambition	ambisi
ambitious	merasa berambisi
amend	ngubah
amid	ring kalangan
among	ring antara
among us	ring antara ragané samian
amount	jumlah
amusing	ngranaang seneng
an	asiki
analysis	analisis
