a	ا
a little	کینٛہہ
a lot	واریاہ
a lot of	واریاہ کینٛہہ
abandon	ترٛاوٗن
abandoned	ترک کردین
abide	روزٕ
ability	اہلیت
able	قٲبل
about	اتھ متعلق
above	ہیرٕ
abroad	بیرون ملک
absence	غٲر موجودگی
absent	غٲر موجود
absolutely	بالکل
absorb	جذب کرنا
abstract	تجریدی
absurd	مضحکہ خیز
abundance	کثرت
abundant	واریاہ زیادٕ
abuse	غلط استعمال
accent	فنہ تعمیٖرات
accept	قبول کر
access	رسٲئی
accident	حٲدثہٕ
accommodation	رہائش
accomplish	پورٕ کر
accomplished	کامیاب
according	مطٲبق
account	اکاونٹ
accuracy	درستگی
accurate	درست
accused	الزام تراشی
ache	ژھایہ
achieve	حٲصل کر
achievement	کامیٲبی
acknowledge	تسلیم کر
acquaintance	واقفیت
acquire	حٲصل کر
acquired	حٲصل کرکھ
acquisition	خریدٲری
across	أنٛد پٔکھۍ
act	ایکٹ
action	کاروٲیی
active	فعال
activities	سرگرمیہٕ
activity	سرگرمی
actor	اداکار
actual	اصلی
actually	اصلس منز
acute	تیز
adapt	ایڈاپٹ
add	ایڈ کر
addicted	نشٲنی
addition	اضافہٕ
additional	اضٲفی
address	پتہ
adequate	کٲفی
adjacent	نزدیکی
adjective	صفت
adjust	ایڈجسٹ کر
admire	تعریف کر
admit	تسلیم کر
adopt	اپناو
adorable	پریٚتھ
advance	پیشگی
advanced	ایڈوانسڈ
advantage	فأئدٕ
adventure	ایڈونچر
adverb	ایڈورب
advertisement	اشتہار
advertising	اشتہار بازی
advice	مشورٕ
advise	مشورٕ
advocate	ایڈوکیٹ
aesthetic	آرکیٹیکچرل
affair	معملہٕ
affect	متٲثر کرن
affection	محبت
afford	فراہم کر
affordable	سستہٕ
afraid	ڈرو
after	امہ پتہٕ
afternoon	دوپہر
afterwards	پتہٕ
again	دوبارٕ
against	خلاف
age	عمر
agency	ایجنسی
agent	ایجنٹ
aggressive	جارحانہ
agile	اگل
ago	برونٹھ
agree	اتفاق کر
agreement	معاہدٕ
agriculture	زراعت
ahead	برٛونٛہہ کن
aid	امداد
aim	مقصد
air	ہوا
airport	ہوائی اڈے
aisle	ہہہہہہہہہ
alarm	الارم
alcohol	شراب
alert	الرٹ
alive	زندٕ
all	سٲری
all right	ٹھیک چھ
all the best	تمام بہترین
allow	اجازت دیو
allowed	اجازت
almost	تقریبا
alone	اکیلا
along	سۭتۍ سۭتۍ
already	گۄڈٕ پیٚٹھٕ
Alright	ٹھیک چھ
also	تہ تہ
alternative	متبادل
although	حالانٛکہ
always	ہمیشہٕ
am	آیم
amazing	حیرت انگیز
ambiguous	مبہم
ambition	عزائم
ambitious	مہتواکانکشی
amend	بدلاو
amid	درمیان
among	یمن منز
among us	اسہ درمیان
amount	رقم
amusing	مزٕ دار
an	ا
analysis	تجزیہ
ancestors	جد
anchor	اینکر
ancient	پرٲنۍ
and	تہٕ
and you	تہٕ توہہہ
angel	فرشتہ
anger	شرارت
angle	زاویہ
angry	ناراضگی
animal	جانور
ankle	ٲٹھۍ ٲٹھۍ
anniversary	سالانہٕ تقریبات
announcement	اعلان
annoy	ناراضگی
annoyed	ناراضگی
annoying	پریشان کن
annual	پریتھ وأری
anonymous	ناواقف
another	بیاکھ اکھ
answer	جواب
anticipate	پیشین گوئی کر
anxiety	اضطراب
anxious	پریشان
any	کانٛہہ تہ
anymore	بیٚیہ
anyone	کانہہ تہ
anything	کانٛہہ تہ
anyway	وونہ گو٘
anyways	وونہ گو٘
apart	الگ الگ
apartment	اپارٹمنٹ
apologize	درخاست کر
apparent	واضح
