a	a
sabuah	a
sagetek	a little
banyak	a lot
banyak dari	a lot of
maninggakan	abandon
ditinggakan	abandoned
tingga	abide
kamampuan	ability
mampu	able
tantang	about
di ateh	above
lua nagari	abroad
katiadoan	absence
absen	absent
tantu sajo	absolutely
manyerap	absorb
abstrak	abstract
aneh	absurd
malimpah	abundance
malimpah	abundant
pelecehan	abuse
aksen	accent
tarimo	accept
akses	access
kacelakaan	accident
tampek tingga	accommodation
manyalasaian	accomplish
babakat	accomplished
manyalasaian	accomplished
manuruik	according
akun	account
katapatan	accuracy
akurat	accurate
dituduah	accused
sakik	ache
capai	achieve
pancapaian	achievement
mangakui	acknowledge
kenalan	acquaintance
mandapekan	acquire
didapek	acquired
akuisisi	acquisition
linteh	across
sapanjang	across
batindak	act
tindakan	action
aktif	active
aktivitas	activities
aktivitas	activity
aktor	actor
sabananyo	actual
sabananyo	actually
akut	acute
manyasuaikan	adapt
tambah	add
kacanduan	addicted
tambahan	addition
tambahan	additional
alamaik	address
mamadai	adequate
basabalahan	adjacent
kato sipek	adjective
manyasuaian	adjust
kagum	admire
mangaku	admit
maadopsi	adopt
manggaligaman	adorable
maju	advance
canggih	advanced
kauntuangan	advantage
patualangan	adventure
kato katerangan	adverb
iklan	advertisement
iklan	advertising
nasehat	advice
nasihat	advise
maanjurkan	advocate
estetis	aesthetic
salingkuh	affair
mampangaruahi	affect
kasiah sayang	affection
maagiah	afford
tajangkau	affordable
takuik	afraid
sasudah	after
sanjo	afternoon
sasudah itu	afterwards
baliak	again
cai	again
malawan	against
umua	age
agen	agency
agen	agent
agresif	aggressive
lincah	agile
nan lalu	ago
satuju	agree
pajanjian	agreement
partania	agriculture
di muko	ahead
bantuan	aid
arah	aim
udaro	air
bandara	airport
lorong	aisle
alaram	alarm
alkohol	alcohol
paringatan	alert
waspada	alert
iduik	alive
kasadoan	all
iyolah	all right
nan tabaiak	all the best
maizinan	allow
diijinan	allowed
ampia	almost
surang	alone
sapanjang	along
basamo	along
sarato	along
alah	already
baiaklah	Alright
juo	also
alternatif	alternative
bia pun	although
taruih	always
ambo	am
manakjuban	amazing
ambigu	ambiguous
ambisi	ambition
ambisius	ambitious
maubah	amend
di tangah	amid
di antaro	among
di antaro awak	among us
jumlah	amount
manyanangan	amusing
sabuah	an
analisis	analysis
nenen moyang	ancestors
sauah	anchor
kuno	ancient
jo	and
jo angku	and you
malaikaik	angel
amarah	anger
arah	angle
suduik	angle
berang	angry
murka	angry
binatang	animal
pagelangan kaki	ankle
ulang tahun	anniversary
pangumuman	announcement
usai	annoy
tagaduah	annoyed
manggaduah	annoying
tahunan	annual
anonim	anonymous
lain	another
jawek	answer
jawaban	answer
antisipasi	anticipate
kacamehan	anxiety
rusuah	anxious
satiok	any
lai	anymore
siapo sajo	anyone
apo pun	anything
bagaimanopun	anyway
bagaimanopun	anyways
tapisah	apart
apartemen	apartment
maminta maaf	apologize
nampak	apparent
bantuaknyo	apparently
menarik	appeal
mancogok	appear
panampilan	appearance
timbua	appeared
napasu makan	appetite
apel	apple
pamakaian	application
pakai	apply
janji	appointment
maharagoi	appreciate
apresiasi	appreciation
mandakek`i	approach
